Admin,Latitude,Longitude,Area,Medic,Ward,Beds,Urban,Population,Essential,Reproductive,Nhos,Ndocs,OpenYear,OpenMonth,OpenDay,CloseYear,CloseMonth,CloseDay,Date,Censored
3450000,35.8993852,128.6222624,114.24,2,,,1,440263,1,1,36,1719,2006,11,21,,,,6436,0
3450000,35.8946373,128.6056616,175.79,1,,,1,440263,1,1,36,1719,2006,12,11,,,,6416,0
3450000,35.9261821,128.6024583,130.03,1,,,1,440263,1,1,36,1719,2007,3,20,,,,6317,0
3450000,35.8888366,128.5675636,109.82,1,,,1,440263,0,0,36,1719,2007,3,21,,,,6316,0
3450000,35.9421069,128.5630348,287.24,1,,,1,440263,0,0,36,1719,2007,4,2,,,,6304,0
3450000,35.9339062,128.5483266,640,1,7,26,1,440263,1,0,36,1719,2007,6,20,,,,6225,0
3450000,35.9422047,128.5600877,222.47,1,1,3,1,440263,1,0,36,1719,2007,12,14,,,,6048,0
3450000,35.8885309,128.5920691,456.24,2,,,1,440263,1,0,36,1719,2007,12,24,,,,6038,0
3450000,35.8885309,128.5920691,275,3,,,1,440263,0,0,36,1719,2008,3,14,,,,5957,0
3450000,35.9338512,128.5489355,92.4,1,,,1,440263,1,0,36,1719,2008,3,27,,,,5944,0
3450000,35.9523758,128.5675806,165.36,1,,,1,440263,1,1,36,1719,2008,4,7,,,,5933,0
3450000,35.9317849,128.5486124,242.88,1,,,1,440263,1,0,36,1719,2008,4,14,,,,5926,0
5350000,35.1781627,128.7957092,143.3,1,,,1,542338,1,1,74,2073,2017,3,10,,,,2674,0
5370000,34.8894089,128.6228773,191.98,1,,,1,245754,0,0,15,830,1997,4,25,,,,9933,0
5370000,34.8949258,128.6079531,154.7,1,,,1,245754,1,1,15,830,1997,5,2,,,,9926,0
5370000,34.8894089,128.6228773,178.78,1,,,1,245754,1,0,15,830,1995,4,24,,,,10665,0
5370000,34.8864101,128.6242874,132,1,,,1,245754,1,1,15,830,1996,7,23,,,,10209,0
5350000,35.2371547,128.8675042,1015.97,4,,,1,542338,1,1,74,2073,2014,5,27,,,,3692,0
5370000,34.8909527,128.6899653,2132,1,10,29,1,245754,1,0,15,830,1997,2,17,,,,10000,0
5380000,35.4157437,129.1724468,81.37,1,,,1,352229,1,1,39,3534,2002,10,2,,,,7947,0
5380000,35.3555138,129.0403897,1001.2,2,7,29,1,352229,0,0,39,3534,2002,10,25,,,,7924,0
5380000,35.4167893,129.1735185,754.09,2,,,1,352229,1,1,39,3534,2003,5,19,,,,7718,0
5380000,35.3378116,129.0265943,433.27,2,1,1,1,352229,0,0,39,3534,2003,11,1,,,,7552,0
5380000,35.3619178,129.0483436,180,1,,,1,352229,1,1,39,3534,2003,11,21,,,,7532,0
5380000,35.3166576,129.0033314,546.75,5,,,1,352229,0,0,39,3534,2018,2,26,,,,2321,0
5380000,35.3380478,129.0270249,746.96,2,,,1,352229,0,0,39,3534,2018,3,5,,,,2314,0
5380000,35.3706839,129.1481751,335.9,1,,,1,352229,1,0,39,3534,2018,3,9,,,,2310,0
5380000,35.3201369,129.0250585,165.24,3,,,0,352229,1,1,39,3534,2018,4,26,,,,2262,0
5380000,35.3106196,129.0052989,430,3,,,1,352229,1,1,39,3534,2018,7,10,,,,2187,0
5380000,35.3374287,129.0277571,225.72,1,,,1,352229,0,0,39,3534,2002,4,25,,,,8107,0
5380000,35.3366934,129.0288832,693.25,1,,,1,352229,1,0,39,3534,2004,4,29,,,,7372,0
5380000,35.3366934,129.0288832,217,1,,,1,352229,1,1,39,3534,2004,4,30,,,,7371,0
5380000,35.3738299,129.1513047,461.5,3,,,1,352229,1,1,39,3534,2004,6,24,,,,7316,0
5340000,35.0834586,128.0857521,734.4,4,13,29,1,111105,1,1,12,469,2017,4,27,,,,2626,0
5340000,35.079741,128.089556,205,1,,,1,111105,1,0,12,469,2017,6,5,,,,2587,0
5380000,35.3537883,129.0400521,72,1,,,1,352229,1,1,39,3534,2004,8,31,,,,7248,0
5450000,35.3035517,127.972048,123,1,,,0,34857,1,1,1,18,2011,8,26,,,,4697,0
5450000,35.4152822,127.8766798,164.81,1,,,1,34857,1,0,1,18,2015,4,29,,,,3355,0
5450000,35.3001448,127.9572725,261.55,1,,,0,34857,1,1,1,18,2015,12,31,,,,3109,0
5450000,35.3024574,127.9720052,206.27,2,,,0,34857,1,1,1,18,2016,2,23,,,,3055,0
5340000,34.9027323,128.0748904,105.96,1,,,1,111105,1,1,12,469,2007,10,9,,,,6114,0
5340000,34.9457819,128.0850371,1107.42,3,,,1,111105,1,1,12,469,2016,11,25,,,,2779,0
5340000,35.0792895,128.0863808,340.61,2,,,0,111105,1,1,12,469,2017,8,31,,,,2500,0
5340000,35.0834586,128.0857521,1379.5,13,13,29,1,111105,1,1,12,469,2017,2,6,,,,2706,0
5350000,35.307628,128.7348367,174.6,1,,,1,542338,1,1,74,2073,2013,3,15,,,,4130,0
5350000,35.1705054,128.8126583,298.63,1,,,1,542338,1,1,74,2073,2012,8,28,,,,4329,0
5370000,34.8895845,128.6233632,477.4,1,5,17,1,245754,1,1,15,830,2001,5,24,,,,8443,0
5370000,34.8908459,128.6131057,381.35,1,,,1,245754,1,1,15,830,2001,6,15,,,,8421,0
5370000,34.8951209,128.6908737,117,1,,,1,245754,1,1,15,830,2001,8,16,,,,8359,0
5350000,35.2287504,128.8821704,673,4,,,1,542338,1,0,74,2073,2004,4,26,,,,7375,0
5350000,35.1705054,128.8126583,251.85,1,,,1,542338,0,0,74,2073,2012,8,8,,,,4349,0
5350000,35.2261939,128.9011935,126.7,1,,,1,542338,1,1,74,2073,2012,8,28,,,,4329,0
